Date,GDP
1965:Q3,5.2206
1965:Q4,5.799
1966:Q1,6.1591
1966:Q2,2.3308
1966:Q3,4.5512
1966:Q4,4.442
1967:Q1,0.0
1967:Q2,2.3821
1967:Q3,4.2174
1967:Q4,4.4781
1968:Q1,6.0785
1968:Q2,5.2992
1968:Q3,4.981
1968:Q4,3.8736
1969:Q1,2.9269
1969:Q2,2.3437
1969:Q3,2.0522
1969:Q4,-0.0547
1970:Q1,-1.58
1970:Q2,0.2766
1970:Q3,1.4424
1970:Q4,-3.3125
1971:Q1,6.4244
1971:Q2,3.6673
1971:Q3,2.8468
1971:Q4,6.074
1972:Q1,5.2653
1972:Q2,8.9483
1972:Q3,5.9452
1972:Q4,8.4449
1973:Q1,7.8609
1973:Q2,2.581
1973:Q3,3.5461
1973:Q4,1.3379
1974:Q1,-5.8351
1974:Q2,-1.1987
1974:Q3,-2.8703
1974:Q4,-9.0997
1975:Q1,-10.3668
1975:Q2,-0.3073
1975:Q3,11.1584
1975:Q4,5.3994
1976:Q1,7.5038
1976:Q2,4.3706
1976:Q3,3.9296
1976:Q4,2.9563
1977:Q1,5.2227
1977:Q2,6.435
1977:Q3,3.8107
1977:Q4,4.2214
1978:Q1,-0.5576
1978:Q2,7.4043
1978:Q3,3.4281
1978:Q4,6.115
1979:Q1,0.7372
1979:Q2,-3.2587
1979:Q3,2.412
1979:Q4,1.4309
1980:Q1,1.0875
1980:Q2,-9.0608
1980:Q3,0.9976
1980:Q4,5.0385
1981:Q1,6.5074
1981:Q2,-1.9118
1981:Q3,-0.5814
1981:Q4,-5.2249
1982:Q1,-3.8927
1982:Q2,1.6694
1982:Q3,0.7597
1982:Q4,-2.5146
1983:Q1,3.0951
1983:Q2,8.6706
1983:Q3,7.909
1983:Q4,4.4765
1984:Q1,8.3377
1984:Q2,7.4763
1984:Q3,2.6622
1984:Q4,3.9222
1985:Q1,1.3543
1985:Q2,1.7426
1985:Q3,3.2704
1985:Q4,2.353
1986:Q1,3.2014
1986:Q2,1.0766
1986:Q3,2.4141
1986:Q4,1.7474
1987:Q1,4.2991
1987:Q2,2.5909
1987:Q3,3.8377
1987:Q4,4.1508
1988:Q1,2.266
1988:Q2,3.0887
1988:Q3,2.2367
1988:Q4,1.99
1989:Q1,5.5464
1989:Q2,1.676
1989:Q3,2.501
1989:Q4,0.5006
1990:Q1,2.0958
1990:Q2,1.2198
1990:Q3,1.7929
1990:Q4,-2.1314
1991:Q1,-2.8109
1991:Q2,0.4177
1991:Q3,2.3709
1991:Q4,0.2965
1992:Q1,1.9784
1992:Q2,1.386
1992:Q3,2.6504
1992:Q4,3.7903
1993:Q1,1.7993
1993:Q2,1.5773
1993:Q3,2.8444
1993:Q4,5.8701
1994:Q1,2.5813
1994:Q2,3.7075
1994:Q3,3.4382
1994:Q4,4.5319
1995:Q1,2.8193
1995:Q2,0.5275
1995:Q3,4.2048
1995:Q4,
1996:Q1,2.8093
1996:Q2,4.2212
1996:Q3,2.1705
1996:Q4,4.7172
1997:Q1,5.611
1997:Q2,2.1633
1997:Q3,3.5206
1997:Q4,4.2983
1998:Q1,4.2417
1998:Q2,1.4168
1998:Q3,3.2884
1998:Q4,5.5848
1999:Q1,4.4917
1999:Q2,2.2875
1999:Q3,4.8237
1999:Q4,5.798
2000:Q1,5.3905
2000:Q2,5.1895
2000:Q3,2.7449
2000:Q4,1.3731
2001:Q1,1.9818
2001:Q2,0.7348
2001:Q3,-0.3549
2001:Q4,0.2236
2002:Q1,5.8356
2002:Q2,1.0594
2002:Q3,3.1366
2002:Q4,0.7442
2003:Q1,1.598
2003:Q2,2.37
2003:Q3,7.1546
2003:Q4,4.0238
2004:Q1,4.1576
2004:Q2,3.0442
2004:Q3,3.7113
2004:Q4,3.1473
2005:Q1,3.0876
2005:Q2,3.414
2005:Q3,3.8045
2005:Q4,1.1187
2006:Q1,4.8178
2006:Q2,2.4577
2006:Q3,1.5829
2006:Q4,3.4734
2007:Q1,1.2601
2007:Q2,3.3822
2007:Q3,3.8959
2007:Q4,0.6362
2008:Q1,0.5974
2008:Q2,1.8886
2008:Q3,-0.2522
2008:Q4,-3.8037
2009:Q1,-6.1437
2009:Q2,-1.0173
2009:Q3,3.5339
2009:Q4,5.7309
2010:Q1,3.2387
2010:Q2,2.3866
2010:Q3,2.0097
2010:Q4,3.173
2011:Q1,1.7482
2011:Q2,1.2822
2011:Q3,2.4637
2011:Q4,2.7523
2012:Q1,2.2043
2012:Q2,1.5369
2012:Q3,2.0138
2012:Q4,-0.1435
2013:Q1,2.5024
2013:Q2,1.6737
2013:Q3,2.8463
2013:Q4,3.2279
2014:Q1,0.1079
2014:Q2,3.9481
2014:Q3,3.549
2014:Q4,2.6422
2015:Q1,0.2482
2015:Q2,2.3219
2015:Q3,1.4923
2015:Q4,0.6914
2016:Q1,0.5378
2016:Q2,1.2182
2016:Q3,2.9014
2016:Q4,1.8735
2017:Q1,0.6941
2017:Q2,2.5683
2017:Q3,2.9875
2017:Q4,2.555
2018:Q1,2.3176
2018:Q2,4.0595
2018:Q3,3.5002
2018:Q4,2.5878
2019:Q1,3.1705
2019:Q2,2.055
2019:Q3,1.9188
2019:Q4,2.0808
2020:Q1,-4.7832
2020:Q2,-32.9038
2020:Q3,33.0826
2020:Q4,4.0124
2021:Q1,6.3877
2021:Q2,6.5026
2021:Q3,2.0163
2021:Q4,6.8881
2022:Q1,-1.4142
2022:Q2,-0.9335
2022:Q3,2.5656
2022:Q4,2.891
2023:Q1,1.0626
2023:Q2,2.4137
2023:Q3,4.8777
2023:Q4,3.28
